E,FSR_primary,FSR_secondary,IFA_primary,IFA_secondary,direct_gamma_primary,direct_gamma_secondary,total,total_primary,total_secondary
167.668,1.215287e+18,1.608518e+17,1.26375e+19,2.226445e+18,1.07882e+16,5.90860118e+19,7.53368838e+19,1.38635752e+19,6.14733086e+19
176.398,1.141807e+18,1.367268e+17,1.204097e+19,1.910745e+18,1.24999e+16,5.31885001e+19,6.84312488e+19,1.31952769e+19,5.52359719e+19
185.583,1.072148e+18,1.158456e+17,1.146994e+19,1.634292e+18,1.43935e+16,4.75613065e+19,6.18679256e+19,1.25564815e+19,4.93114441e+19
195.246,1.00613e+18,9.781125e+16,1.092311e+19,1.392993e+18,1.66283e+16,4.25903717e+19,5.602704425e+19,1.19458683e+19,4.408117595e+19
205.412,9.435762e+17,8.225489e+16,1.03992e+19,1.18305e+18,1.91795e+16,3.78562205e+19,5.0483481089999995e+19,1.13619557e+19,3.912152539e+19
216.107,8.843175e+17,6.892034e+16,9.897012e+18,1.001002e+18,2.2091e+16,3.3700809e+19,4.557415184e+19,1.08034205e+19,3.477073134e+19
227.36,8.281863e+17,5.75174e+16,9.415459e+18,8.436817e+17,2.54853e+16,2.97967147e+19,4.09670444e+19,1.02691306e+19,3.06979138e+19
239.198,7.750394e+17,4.783029e+16,8.953321e+18,7.082878e+17,2.93409e+16,2.62872591e+19,3.680107849e+19,9.7577013e+18,2.704337719e+19
251.653,7.247235e+17,3.959686e+16,8.509592e+18,5.922155e+17,3.378789999999999e+16,2.31187121e+19,3.3018627860000002e+19,9.2681034e+18,2.375052446e+19
264.756,6.77103e+17,3.264005e+16,8.083237e+18,4.930859e+17,3.88981e+16,2.02396019e+19,2.9564565950000005e+19,8.7992381e+18,2.0765327850000003e+19
278.541,6.320432e+17,2.679046e+16,7.673274e+18,4.087266e+17,4.473e+16,1.772497e+19,2.651053426e+19,8.3500472e+18,1.816048706e+19
293.045,5.894116e+17,2.189035e+16,7.278708e+18,3.37233e+17,5.14534e+16,1.53995466e+19,2.367824295e+19,7.919573e+18,1.575866995e+19
308.303,5.490926e+17,1.778918e+16,6.898729e+18,2.769264e+17,5.91065e+16,1.33360935e+19,2.113773718e+19,7.5069281e+18,1.363080908e+19
324.356,5.109638e+17,1.437823e+16,6.532399e+18,2.262992e+17,6.78718e+16,1.14810282e+19,1.883294023e+19,7.1112346e+18,1.172170563e+19
341.245,4.749132e+17,1.157402e+16,6.178886e+18,1.839634e+17,7.79386e+16,9.8796414e+18,1.680691662e+19,6.7317378e+18,1.007517882e+19
359.013,4.408332e+17,9267105000000000.0,5.83738e+18,1.487483e+17,8.939529999999997e+16,8.4597547e+18,1.4985378605e+19,6.3676085e+18,8.617770105e+18
377.706,4.0861840000000006e+17,7371206000000000.0,5.507082e+18,1.196376e+17,1.0242000000000005e+17,7.19443e+18,1.3339559206e+19,6.0181204e+18,7.321438806e+18
397.373,3.781663e+17,5827064000000000.0,5.187255e+18,9.567433e+16,1.17448e+17,6.108372e+18,1.1892742694e+19,5.6828693e+18,6.209873394e+18
418.064,3.493804e+17,4584877000000000.0,4.877257e+18,7.603929e+16,1.3449800000000005e+17,5.142272e+18,1.0584031567e+19,5.3611354e+18,5.222896167e+18
439.832,3.221667e+17,3580869000000000.0,4.576252e+18,6.006874e+16,1.53857e+17,4.320663e+18,9.436588309e+18,5.0522757e+18,4.384312609e+18
462.733,2.964337e+17,2781386000000000.0,4.283663e+18,4.715599e+16,1.76e+17,3.60356e+18,8.409594076e+18,4.7560967e+18,3.653497376e+18
486.827,2.720919e+17,2141850000000000.0,3.998904e+18,3.676709e+16,2.01092e+17,2.980058e+18,7.49105484e+18,4.4720879e+18,3.01896694e+18
512.176,2.490565e+17,1639626000000000.0,3.72141e+18,2.84689e+16,2.2958800000000013e+17,2.464422e+18,6.694585026e+18,4.2000545e+18,2.494530526e+18
538.844,2.272468e+17,1245224000000000.0,3.450623e+18,2.188033e+16,2.6202500000000016e+17,2.007225e+18,5.970245354e+18,3.9398948e+18,2.030350554e+18
566.901,2.065841e+17,938617300000000.0,3.186303e+18,1.668753e+16,2.98498e+17,1.650362e+18,5.3593732473e+18,3.6913851e+18,1.6679881473e+18
